taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4512103	Apodesmia ocellata (Wesmael, 1835)	1270222	Opius ocellatus Wesmael, 1835	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Opius	1269675	Opius ocellatus	1270222	NE
11171360	Agapostemon femoralis (Guerin-Meneville, 1844) Sheffield, Vilhelmsen & Bakker, 2021	11171360	Agapostemon femoralis (Guerin-Meneville, 1844) Sheffield, Vilhelmsen & Bakker, 2021	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Agapostemon	5042846	Agapostemon femoralis	11171360	NE
9126730	Andrena danini Pisanty & Scheuchl, 2016	9126730	Andrena danini Pisanty & Scheuchl, 2016	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena danini	9126730	NE
1357540	Andrena marginata Fabricius, 1776	1357540	Andrena marginata Fabricius, 1776	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena marginata	1357540	NE
9815160	Anastatus bifasciatus (Geoffroy, 1785)	9815160	Anastatus bifasciatus (Geoffroy, 1785)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Eupelmidae	9442	Anastatus	1390407	Anastatus bifasciatus	9815160	NE
1357265	Andrena mediovittata Pérez, 1895	1357265	Andrena mediovittata Pérez, 1895	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena mediovittata	1357265	NE
9746904	Andrena chalcogastra extrema Warncke, 1993	1356948	Andrena chalcogastra Brullé, 1840	2	SUBSPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena chalcogastra	1356948	
4504403	Myrmica lonae Finzi, 1926	4504403	Myrmica lonae Finzi, 1926	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrmica	1318775	Myrmica lonae	4504403	NE
1339801	Amegilla zonata (Linnaeus, 1758)	1339801	Amegilla zonata (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Amegilla	1339775	Amegilla zonata	1339801	NE
1351332	Sphecodes reticulatus Thomson, 1870	1351332	Sphecodes reticulatus Thomson, 1870	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Sphecodes	1351262	Sphecodes reticulatus	1351332	NE
1356971	Andrena falsifica Perkins, 1915	1356971	Andrena falsifica Perkins, 1915	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena falsifica	1356971	NE
1358128	Andrena wilkella (Kirby, 1802)	1358128	Andrena wilkella (Kirby, 1802)	56	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena wilkella	1358128	NE
9390778	Tapinoma subboreale Seifert, 2012	9390778	Tapinoma subboreale Seifert, 2012	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tapinoma	1316784	Tapinoma subboreale	9390778	NE
11685312	Andrena longistilus Pisanty, Scheuchl, Martin, Cardinal & Wood, 2022	11685312	Andrena longistilus Pisanty, Scheuchl, Martin, Cardinal & Wood, 2022	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena longistilus	11685312	NE
1354476	Lasioglossum calceatum (Scopoli, 1763)	1354476	Lasioglossum calceatum (Scopoli, 1763)	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Lasioglossum	1353501	Lasioglossum calceatum	1354476	NE
